30
1 1.0
2 2.0
3 3.0
4 4.0
5 5.0
6 6.0
7 7.0
8 8.0
9 9.0
10 10.0
11 11.0
12 12.0
13 13.0
14 14.0
15 15.0
16 16.0
17 17.0
18 18.0
19 19.0
20 20.0
21 21.0
22 22.0
23 23.0
24 24.0
25 25.0
26 26.0
27 27.0
28 28.0
29 29.0
30 30.0
1 2 1.0
2 3 1.1
3 4 1.2
4 5 1.3
5 6 1.4
6 7 1.5
7 8 1.6
8 9 1.7
9 10 1.8
10 11 1.9
11 12 2.0
12 13 2.1
13 14 2.2
14 15 2.3
15 16 2.4
16 17 2.5
17 18 2.6
18 19 2.7
19 20 2.8
20 21 2.9
21 22 3.0
22 23 3.1
23 24 3.2
24 25 3.3
25 26 3.4
26 27 3.5
27 28 3.6
28 29 3.7
29 30 3.8
30 1 3.9
